timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
317221.6424357084, -0.113753, 0.056714, 0.366120, -0.555025, 0.330204, 0.389909
317221.6524977084, -0.102444, 0.009496, 0.404582, -0.653780, 0.050430, 0.454536
317221.6624281667, -0.093672, -0.051210, 0.404122, -0.816322, -0.119234, 0.489030
317221.67252112506, -0.093105, -0.105433, 0.390082, -1.034822, -0.170089, 0.503443
317221.6822065001, -0.105013, -0.138941, 0.362564, -1.254966, -0.107756, 0.520642
317221.6924692084, -0.103661, -0.181729, 0.295855, -1.410245, 0.062445, 0.539396
317221.70254941675, -0.096734, -0.224247, 0.199544, -1.493210, 0.290562, 0.543300
317221.7224647084, -0.082802, -0.302487, 0.085543, -1.469083, 0.554256, 0.511097
317221.7324314584, -0.069557, -0.339687, 0.058477, -1.317138, 0.540676, 0.488156
317221.7324314584, -0.069557, -0.339687, 0.058477, -1.317138, 0.540676, 0.488156
317221.7425036667, -0.046883, -0.369370, 0.020265, -1.075255, 0.430939, 0.468879
317221.7520339584, -0.020243, -0.390911, -0.012607, -0.772886, 0.280603, 0.472719
317221.7725939584, 0.050371, -0.404010, -0.059067, -0.139995, -0.038901, 0.527017
317221.7825290001, 0.078314, -0.412411, -0.053718, 0.102466, -0.214396, 0.536470
317221.79245112505, 0.088018, -0.417650, -0.026873, 0.242385, -0.367744, 0.522274
317221.80250354175, 0.076763, -0.405271, -0.002121, 0.278395, -0.497578, 0.488452
317221.8125133334, 0.069688, -0.404055, 0.010640, 0.244734, -0.548393, 0.442107
317221.8225402084, 0.049713, -0.397621, -0.016789, 0.171073, -0.551004, 0.389984
317221.8324929167, 0.030163, -0.384935, -0.066073, 0.095769, -0.500818, 0.336928
317221.8425785417, 0.017814, -0.371899, -0.134303, 0.036223, -0.411806, 0.285711
317221.8525115834, 0.004736, -0.355864, -0.205026, 0.005310, -0.312440, 0.237829
317221.8624644167, -0.007972, -0.326209, -0.273940, 0.017139, -0.187776, 0.211855
317221.87251966674, -0.013269, -0.297932, -0.340804, 0.078676, -0.048939, 0.212566
317221.88235662505, -0.012320, -0.275169, -0.388940, 0.166325, 0.105263, 0.220873
317221.89244066674, -0.022928, -0.246862, -0.416966, 0.252753, 0.271876, 0.241617
317221.90251066675, -0.037861, -0.219542, -0.412238, 0.319776, 0.415241, 0.265090
317221.9125578751, -0.035229, -0.207167, -0.368670, 0.359053, 0.466871, 0.262818
317221.92247770843, -0.029677, -0.199439, -0.290381, 0.352086, 0.401340, 0.230007
317221.9324249167, -0.031579, -0.186403, -0.196511, 0.307252, 0.256399, 0.178310
317221.9425350834, -0.032619, -0.168825, -0.132256, 0.276092, 0.103864, 0.131822
317221.95254866674, -0.014356, -0.148426, -0.117779, 0.280370, -0.027647, 0.106723
317221.9621188334, 0.011101, -0.118805, -0.134590, 0.305931, -0.118325, 0.101186
317221.9725003334, 0.033056, -0.088528, -0.146003, 0.327726, -0.203641, 0.112956
317221.9825297501, 0.053896, -0.064225, -0.143801, 0.358859, -0.264504, 0.130003
317221.9924494584, 0.071002, -0.042009, -0.144683, 0.399251, -0.281175, 0.152050
317222.00253004173, 0.078014, -0.023238, -0.151696, 0.434385, -0.259472, 0.180168
317222.01255966676, 0.081406, -0.006325, -0.146851, 0.438048, -0.199122, 0.215979
317222.03255937505, 0.098979, 0.008497, -0.114320, 0.426515, 0.022149, 0.299775
317222.04259216675, 0.115061, -0.005434, -0.091893, 0.423315, 0.111043, 0.312815
317222.05157425004, 0.125709, -0.022990, -0.053517, 0.407418, 0.147352, 0.305264
317222.0615648334, 0.123150, -0.033059, -0.006887, 0.357457, 0.156916, 0.290721
317222.0725372084, 0.116999, -0.034664, 0.036800, 0.294038, 0.125280, 0.281620
317222.0825230001, 0.107887, -0.029973, 0.068622, 0.235234, 0.055722, 0.280989
317222.0924944584, 0.095637, -0.018395, 0.083881, 0.192285, -0.011448, 0.288469
317222.1025404584, 0.089005, -0.017801, 0.076753, 0.184140, -0.055313, 0.295284
317222.1125662501, 0.085164, -0.030654, 0.055999, 0.206808, -0.077344, 0.272375
317222.1225316251, 0.070901, -0.044693, 0.035541, 0.232968, -0.075415, 0.218237
317222.13254062505, 0.055319, -0.057648, 0.032067, 0.234653, -0.062618, 0.141495
317222.14166991675, 0.041953, -0.062762, 0.045826, 0.211861, -0.033401, 0.057754
317222.15260475007, 0.032046, -0.057487, 0.064305, 0.170389, 0.015334, -0.022003
